yJsjA4_54H4_379,whale calling
9lKIoqoJy0M_30,baby babbling
BjR_ixR8TUw_30,basketball bounce
ZRVktsXO9FI_66,scuba diving
6tDRmG2WxFc_300,playing bass drum
8xoenlVVBZw_30,cat meowing
mtAc_bMYBsM_21,playing castanets
21lu8Iaf9II_60,people finger snapping
WegRDdpH2ks_518,car engine starting
i-g4r-1mKcg_214,popping popcorn
f-DZlg2DFWE_0,horse neighing
T834Iasgjs4_336,playing erhu
2INpPpv4NRg_560,using sewing machines
IIamk2tYJHY_365,playing oboe
GX78OoBoroQ_1,people crowd
jEP-WEblweY_115,train horning
CWHD3CxFWkQ_43,people humming
JrPXRMnZWH4_117,popping popcorn
WdIsOZQHeBY_30,people eating
UUuXfyfCaL4_170,people clapping
XRGnt50U4EY_208,lip smacking
LK8NpgU9EZE_30,people whispering
BMS_gXhrrko_0,sea lion barking
MyUItl-2v0U_50,waterfall burbling
foQ8lV0bsb4_71,"fly, housefly buzzing"
R7ls6ZQJ5UM_570,"playing marimba, xylophone"
REjC6sK5Msk_156,airplane
eMQQRvh-BUI_30,door slamming
985zNO7Wo1w_182,children shouting
K7EITkM8vFI_130,machine gun shooting
AIuayXjDos8_130,playing ukulele
qShzBJddv_s_51,warbler chirping
695GiTHasWE_66,bathroom ventilation fan running
O9dNbswLJu0_331,playing congas
xTPmoYwgKf4_30,driving motorcycle
RjVLYi4jQYc_0,people battle cry
MMUQckEa_ME_30,turkey gobbling
7eMnBLUs7kg_126,warbler chirping
aWaMcq7HuKw_0,playing didgeridoo
tvcJENqxr1c_30,"playing steel guitar, slide guitar"
0H2tR-oOvIY_3,footsteps on snow
8O-hCtPfef8_44,playing bass drum
iCYA7N-vdZA_0,female singing
Ayr3X0IMj04_0,driving buses
HhUYxDk7_98_18,horse clip-clop
BrtKgAjXv7g_30,mouse pattering
OJ78r7T0AlQ_59,playing guiro
j6n_MNU52Ns_30,lawn mowing
5fzwZ3YnYi8_240,"bee, wasp, etc. buzzing"
KdPjKD7F1-Y_390,people running
fdadZ_KrZVw_90,playing timpani
noN35nW5gl4_0,cattle mooing
uJJ494MYSmo_19,sea waves
WJUtEDBS0Dw_20,dinosaurs bellowing
JbuoNXVKqBo_0,church bell ringing
tdF2l30DZ18_89,playing lacrosse
-oSzD8P2BtU_30,reversing beeps
THgnXOLqpTg_365,popping popcorn
WDkYInveBTE_22,extending ladders
RRdY9mWHqWo_136,"race car, auto racing"
2E31rvMg-rE_542,sloshing water
Gr-aT8sYNN8_30,vacuum cleaner cleaning floors
7SdJsHDzHqk_190,playing tabla
pi2Vyqa-wgE_87,dinosaurs bellowing
M4rXhyyvERM_40,playing piano
NFkZs_B6Cew_6,people marching
eGINdu-eQaI_0,snake hissing
8F8HvVMwXyw_90,people babbling
sbZ5Ls141fg_30,baby laughter
VQbC7Oth7wQ_30,typing on computer keyboard
5zndga59TFk_14,beat boxing
iRXQiy4dReE_45,elk bugling
GI1YUTNZxMM_21,frog croaking
5ott6Y1gZcY_218,people cheering
rmyjT-6mWwk_170,playing flute
dtHVjFWdBhw_308,"heart sounds, heartbeat"
uOOGqzu-I_U_128,people eating noodle
qFFBUVhICB4_134,golf driving
iz8en2Dt7vE_17,playing trumpet
HqHNS2jKgu8_115,cat hissing
k9bi4ygv1m0_33,cat hissing
TW_dVmqr9ac_107,smoke detector beeping
I2IYACECpWM_83,spraying water
YhIrgcaaXS8_280,playing french horn
io2ZMAWqkeQ_10,lions growling
oNrtgNcQfas_69,playing tuning fork
VgAXZHMi_ws_15,goat bleating
AiHq9qStg00_75,people marching
ZQqgwiTnKII_494,train horning
xgwzTQ8vnso_30,playing synthesizer
hyS-GhmE43g_70,playing tabla
Dkfcal9MGPs_400,bird squawking
V2OjPsg7ydY_60,machine gun shooting
H88-QfYsn2s_496,swimming
pjuHVmcoVFc_36,playing oboe
pAn49oUtHJE_30,people clapping
aHAgeOx1cBM_10,hair dryer drying
ntfyeC178Tg_30,playing vibraphone
A58nnmnhfUo_1,chicken crowing
xHnIZIPMRNg_41,francolin calling
RvM9PZB9mqc_13,eagle screaming
NuvgBjmUW1g_140,dog growling
ILv7AQF-ltI_30,"bird chirping, tweeting"
eeZ8P9lmQ6U_48,magpie calling
9oeGmqm6g8E_80,"railroad car, train wagon"
CSEWnDLoCNA_21,cat hissing
Wv9tqkztYIQ_63,playing washboard
DkWAn4rtLa4_160,"vehicle horn, car horn, honking"
qfCsJyj-gJo_24,playing timbales
EeEAO0rmhE0_30,cricket chirping
hU3_3_MjKl8_11,people booing
GteA5VsgA44_70,pumping water
6pznDg7054M_13,playing lacrosse
lKTKLkLPwmI_91,underwater bubbling
2Wk4Y3_dMuc_440,opening or closing drawers
EGR7EIz9JQ4_30,fire truck siren
eiyyoUt64Zc_100,playing trumpet
8u61Rjy5IJM_4,lip smacking
Y3AK50PotkQ_30,goat bleating
MRD0ocDtv3w_182,striking bowling
3iQ_xRurgS8_30,horse neighing
wOPseDMrWWs_1,playing tuning fork
l-kcXXZIVLs_190,playing cello
LU2T3Q-xbu0_27,owl hooting
y3NZZETzVws_10,chicken clucking
Gh0gZF6SAFk_192,air horn
kcVxxsZdhds_30,goose honking
wyhurCZbKQU_30,driving motorcycle
K1ASf4xAexc_30,parrot talking
r-5NCjm4GlQ_53,tap dancing
C1pyHakPaIE_30,singing choir
ZW7eH1DORJg_30,people eating
JXtOJM5Srs0_3,sharpen knife
9skENGpT1_8_0,"ice cream truck, ice cream van"
uxy0ovI6cNU_220,sailing
-4DpBHTuc88_75,playing glockenspiel
IBVid9pEOwk_5,striking bowling
wiOUhsE48-g_461,black capped chickadee calling
QalzlvZGJEw_383,lip smacking
1g3n6Zaqid8_64,black capped chickadee calling
QqdmtqL64RA_30,playing trombone
2wsp3s4hIKs_8,francolin calling
ZfhY0JZqbQU_30,lawn mowing
KDgNhw175fM_89,yodelling
2ZogsGp-T4o_40,playing mandolin
h_m8EqsraXs_72,lions growling
a-3cZREZh3k_400,"playing marimba, xylophone"
xHPKvUzFmrA_92,snake rattling
rFtAqf39OeI_86,penguins braying
-zCtwbk005g_30,cat meowing
-1EXhfqLLwQ_150,pumping water
0NZQRllfNhE_140,mynah bird singing
7tMPoaU2oL4_0,people cheering
qaZYMjKrUCo_460,using sewing machines
kr8ssbrDDMY_30,fire truck siren
37q4lM63WoQ_428,chopping food
e9EUmQBO498_0,"vehicle horn, car horn, honking"
slOgYIKuAx4_240,playing glockenspiel
E6Fb7i2rP-Q_370,vacuum cleaner cleaning floors
Ys2ri7Pw2gw_1404,footsteps on snow
2BbBEozEiak_186,mouse clicking
DhiZ6pZ8LEc_170,using sewing machines
FlYi8CPdbBs_53,roller coaster running
gf1y74QzhTI_30,dog growling
OT1XkHtyZbQ_220,people whistling
2xCwG0Wju4s_100,"electric shaver, electric razor shaving"
mY0sA1fc2IM_66,lions growling
cWZLGpaVwwE_30,typing on computer keyboard
NXgo0uXN5e4_76,firing muskets
26oZCMP4Kqo_131,parrot talking
Xn0GIKVyMw4_190,metronome
f5s9bD_3IY4_2,cow lowing
tV3rvUSlVnY_30,playing steelpan
yDgO-k3FFis_395,arc welding
Os_DQIRQgXw_2,car engine starting
DHXgiZqSoTg_270,playing gong
_jB-IM_77lI_0,playing tennis
GZRZcKEtHzo_10,playing harp
0YIWrXgCjiM_30,singing choir
QIRX5273XKk_30,people clapping
-uD3ZbhFTnk_77,baltimore oriole calling
54bz5yqN2IA_4,playing double bass
uH926Sn1pYE_44,cutting hair with electric trimmers
cLpDBj--as0_8,people sneezing
Awxvsh2tM48_500,cricket chirping
BUGx2e7OgFE_30,playing harmonica
SLajIWg3BY8_117,chopping food
zA1qfTalFGY_15,chinchilla barking
YchzqU8mrmE_12,beat boxing
hvBFjdYnW4U_30,mouse squeaking
1LA8BxMlXSY_80,ambulance siren
wyUaM2NUAdg_247,running electric fan
_BIGos5RfH8_120,playing tabla
A8L0mC1_Geg_400,bird wings flapping
_HEzeeRT5_0_40,basketball bounce
CgMmtC41T9k_30,wind chime
MN56LjjbB8k_18,playing glockenspiel
w6ePxZrd0Dw_19,mynah bird singing
O_8C1feaFac_200,playing timpani
2K_kjDyISPg_283,cupboard opening or closing
xZ8hQliZqhg_320,police car (siren)
yA9_yeb_rrw_342,spraying water
AXVytVHJblw_30,playing cymbal
-86gl1hp1Aw_105,parrot talking
2i4UNf8tjvU_30,wind rustling leaves
jE8MWTGaM7U_30,volcano explosion
WrGIzNUwz2Y_67,cell phone buzzing
Gp8JHL426qs_195,playing badminton
x6FbyqrK0g0_30,playing synthesizer
4WH0ZxvF9Nw_3,otter growling
gaFQgJLQHtU_90,car engine starting
9aR-uBVtrVA_10,lions roaring
B98yOZSj2GE_12,car passing by
NSXKoQa0NsQ_51,playing squash
Al5Ks0PnV0w_17,shot football
DZFP5hm7iKg_195,playing djembe
_CSKpoaeeAc_14,alarm clock ringing
DIAS8gDM8Hg_3,dog baying
g7bhQwjUSq0_80,"bird chirping, tweeting"
_Yy8LLBGm60_31,magpie calling
58JwiVM8bYM_30,duck quacking
6kXUG1Zo6VA_0,skateboarding
aZxm-nYkpNs_3,cricket chirping
Az9XH0eajXI_30,horse clip-clop
7yi2rZVC41E_3,cupboard opening or closing
5QpSgohMobQ_30,car engine starting
XI6TRMIk71Q_125,playing mandolin
OKdBVhH7gOY_590,playing synthesizer
KF8MZdTRk1Q_117,playing tympani
avhgeclEu8k_50,driving motorcycle
oIUof9ZzRcs_1,chinchilla barking
8LXFSLK3otM_10,lawn mowing
cIDVqtnnsvA_470,playing clarinet
lAXpiE0dm_k_340,playing piano
Wx65BBbjCIQ_120,airplane flyby
lDpJ-RBGMQc_180,pumping water
y326JABrGY8_5,zebra braying
jDSo2g-tW98_19,chipmunk chirping
XXkTYV7NqIA_275,dinosaurs bellowing
7L5ceYe0f_s_120,wind rustling leaves
bA8mt0JI0Ko_30,police car (siren)
9Cy3tjg1tVw_30,playing french horn
V0iF61-c6e0_72,cheetah chirrup
-nQ9a0P1TlY_23,child singing
MYxmiVKdL3w_150,bird squawking
UAj7kZaBQ3I_30,mouse pattering
-BmjFZ1xu5Q_263,disc scratching
2UvzCdos0nc_36,dog baying
gAAaCdIv_Jg_179,sharpen knife
yL1RQ9FGZyE_30,playing steelpan
_l80H-FL3II_26,people gargling
1nUqhH8bAPk_30,child singing
BOTMv61wlEs_30,stream burbling
bg9fsF7o0HY_60,thunder
cpGLTc_21MA_320,"motorboat, speedboat acceleration"
dvzwRooVGJI_140,dog howling
KbIIrQtBjk8_70,owl hooting
rhgBTv9bDQk_30,"pigeon, dove cooing"
5F-8ODtcVuA_214,playing double bass
T6NG4llF5Yw_32,playing erhu
bG0PdrCdxUc_30,pig oinking
lTTXwF6DTCU_75,eagle screaming
eKMhRfdwwWI_30,people sniggering
yG4EHLARjmk_50,baby babbling
7JMm65BPEH4_80,singing bowl
QAewYfDZPJA_67,zebra braying
XB6j1Xabe3E_470,bird wings flapping
PU6NmaI_JOc_30,people farting
vw_q2SV_YOY_130,turkey gobbling
ucC4clgPd4Q_30,typing on typewriter
OPDPzxXvvPE_52,telephone bell ringing
E3sbhKh1Rns_126,plastic bottle crushing
DrlmLvPFdg8_30,people running
nhAiQyirHe0_127,wood thrush calling
xJFyro8qFYs_41,eletric blender running
bNhA2IsT9R4_90,chicken clucking
NzWgMNQX5xw_18,fire crackling
aT2H95zTChA_38,ferret dooking
Ju1aYoWJM44_300,playing tabla
Mt4F5APXeqI_838,lip smacking
psamoHEfoHg_20,opening or closing drawers
awQP-69K3rY_420,"bird chirping, tweeting"
ZkQk_9V-1FU_500,people burping
ZKyVMjSiP7c_211,shot football
ik3SNmU2v9k_135,pheasant crowing
DAPGvg8qOAU_0,playing mandolin
5TxnuHBaNZw_7,playing badminton
63jRsQ-gPZM_20,eletric blender running
dqt_MzUQ20M_80,chicken clucking
4tHvsHkl8L0_27,snake hissing
xJq5BhrKS4A_7,fireworks banging
1wdCX1HmRyk_140,cricket chirping
pHRXdVtfLLg_149,eletric blender running
2zO-nlygkFo_30,people clapping
UHTpbtmXze0_553,smoke detector beeping
7G8ZGuGNrw8_30,male singing
4ZuK4TQEVv0_5,running electric fan
Oi5mX1TqlX0_0,striking bowling
bXZduPL_O60_1056,blowtorch igniting
-Vo4CAMX26U_30,playing didgeridoo
2g5hx_rynAI_35,playing shofar
lNTgZsEJqEo_103,train whistling
of8GHa1Ko8k_14,"alligators, crocodiles hissing"
kVR18Eie7mM_187,playing darts
dWRS0q8d2tw_30,sliding door
7tE6gxSwrH4_30,singing choir
Ta6H02Kf6ws_150,driving buses
CEWvYJiAxgg_69,bouncing on trampoline
9OcAwC8y-eQ_30,reversing beeps
iROgD3JRJFY_90,baby laughter
OZJmpLg1Dgs_151,ferret dooking
NIUD5tnT_NQ_308,people eating noodle
TyMZJqYmrwE_490,playing ukulele
KzKDk-UgS54_30,"engine accelerating, revving, vroom"
KAlc9vINwU8_88,turkey gobbling
qdfN5FWH1-E_227,playing djembe
UFSp546472I_10,people hiccup
qYjhJeSVJ2A_30,singing bowl
ixscoaWEEnQ_104,people eating crisps
fjWN2sQcR2s_30,ambulance siren
fw5gg4WM-ko_321,"playing steel guitar, slide guitar"
gF5gfblw13c_370,people babbling
0B7fwvTtvLM_0,basketball bounce
t6AXyglx5X4_360,"race car, auto racing"
jECrXThRVh8_256,canary calling
A9KMqwqLboE_30,reversing beeps
7u_bcHSt_8Q_44,electric grinder grinding
5RAfE1H_CTA_6,train wheels squealing
i4woNas3E00_150,forging swords
CeA8--FUxYg_300,playing cymbal
YGv1xUgz2pY_45,playing tympani
hpLvqSrTRTQ_30,basketball bounce
P_BjFvh__1I_20,gibbon howling
sH9j4mHGGkQ_120,"playing violin, fiddle"
LjzOeolKo94_84,playing volleyball
A1vkiLZfAMs_30,playing clarinet
l_LlE4MnLCU_58,ferret dooking
X50vQ1-1Z3g_60,playing saxophone
vh8Uh1zTLQw_35,bull bellowing
u8o3UihxoDM_492,striking bowling
afhXA-Gsc0M_156,"donkey, ass braying"
-Lv13WPa4xk_170,airplane flyby
r6bYfNqe_iQ_435,train whistling
r0u5T5kqm4Y_3,sheep bleating
82GoiIMS6Ig_30,firing cannon
eZ5iippq3rA_30,crow cawing
aWJDNhMn408_25,barn swallow calling
l5g1RkSYZdw_30,playing harmonica
3xDZU7GME7E_170,lighting firecrackers
CAbXVOWLYps_30,dog howling
8wsYT1PRjIg_74,police car (siren)
q7HMw2sZznc_8,sea lion barking
JQ0I1NSdYkw_15,elk bugling
LX5Y1jcoUXE_30,"vehicle horn, car horn, honking"
nttdTFHmH3g_28,chopping food
R60qQ3ag8y8_100,playing piano
89PzuqeWWYQ_24,people battle cry
MOr1AtMw1bw_40,people screaming
A9JSptUG5HU_20,black capped chickadee calling
kmktokIWVMQ_17,zebra braying
fsJdW_6HePY_80,playing tennis
2YJpjSldLtg_495,driving snowmobile
yXsDunJ63Hs_66,chinchilla barking
gyW4t5ogLyE_30,crow cawing
lN_C8kDzlgw_0,stream burbling
1cwReJkXLVo_505,"race car, auto racing"
7_szvK1eHfw_354,snake rattling
amQgKlQIgg0_64,sea lion barking
jLymf_Nx_9o_140,playing clarinet
DC4_1CHRcx8_196,dinosaurs bellowing
eqWaZmPUnng_0,foghorn
btzP6UEH1pI_412,slot machine
FAcA4CyL90s_127,tap dancing
C0sSgrr5xrQ_30,duck quacking
kRoKSjo1ONs_226,people eating noodle
uXVa0VyKdm0_24,firing cannon
j50SGKJ0MQI_160,hedge trimmer running
xcpTytjZNoQ_135,train whistling
XNzQVEmoJrY_30,playing squash
e8iKX9r6nEA_0,people belly laughing
WAUn8kFhvZw_0,owl hooting
DjXyE3_g0b4_156,playing cornet
14tRPoQA4q0_4,baby laughter
9DSDisMCUsc_190,playing darts
Ar5r0pzgaRU_30,cat purring
VP0OZdz-0IY_0,"vehicle horn, car horn, honking"
zsSLTyIhuf0_0,playing tennis
LK0um3j89a0_30,ocean burbling
Ob9iaGon5ak_60,people finger snapping
hDnMfsCScSc_96,air horn
aX9Pzv-Y31Q_20,goose honking
-zI7FN8cMIE_130,"vehicle horn, car horn, honking"
Gc0A0h1Wj-I_560,playing tabla
DShnW2mZR-0_2,opening or closing car electric windows
tVK9-hEfbnY_21,chinchilla barking
4EQfpHgGd5M_68,bull bellowing
C31lRcmAASo_182,squishing water
RMPyriqNS-4_13,cattle mooing
QpFdUoMjf3w_35,yodelling
idS-vH-vTw0_111,people slapping
8QiTQN5reqs_218,parrot talking
W8KC0GO8VvY_240,playing bagpipes
8S-R5p17_IE_160,playing saxophone
Nd2HKDBMkYo_414,playing volleyball
gwIRjBMGTmo_580,playing tabla
JvK6ZXf-ze4_23,underwater bubbling
q797zkZNePo_206,sharpen knife
1aexyJH0jU8_2,blowtorch igniting
cOgNXgF21u4_30,playing acoustic guitar
UOGGfgBN2GM_223,spraying water
-hedbpc8T0E_30,people babbling
CHkE7YL08Zo_30,people sneezing
VWTGBdK9VK8_9,sea lion barking
VeAomElRCJc_30,playing acoustic guitar
ZdSAnqt9pw8_18,zebra braying
7Qtr6D2TWBE_350,typing on computer keyboard
SM6m56nzTWM_7,pheasant crowing
o2x75MH0G08_30,playing cymbal
BLXwpGCn2KQ_30,orchestra
uCWzv5Ss-B0_30,playing harpsichord
AM3p_hpT-0o_15,crow cawing
hnz86eMFjkQ_2,people sneezing
Gn7-NxQCzok_10,waterfall burbling
ZmCFKnBaTBw_130,wind noise
22gk62Sijnc_300,people farting
AJVSqnsBf70_80,eating with cutlery
Hjj6LamDw20_30,"motorboat, speedboat acceleration"
-XwtCzUaN1I_160,playing cymbal
h1v97wZQSPs_0,people farting
leTMkrc4KGI_106,wood thrush calling
Kfr4i48HNcA_53,playing tambourine
9JBG-Wi1gUQ_30,waterfall burbling
qwI32Si0ipE_30,people clapping
wPYSL2zAFww_26,airplane
Kwj9hb-2We0_30,"rowboat, canoe, kayak rowing"
TtO9wzZ3LFA_30,hair dryer drying
k4k-ULQJzAI_30,toilet flushing
dY1Qd53MF4I_310,"bee, wasp, etc. buzzing"
AY2h_JWPtao_30,using sewing machines
_eOCm8F0tmk_3,dinosaurs bellowing
mg2EyWA0Jxc_30,playing drum kit
LXZNhyX5SkE_206,train wheels squealing
3NIlQB0YxME_33,playing table tennis
Ub7DXmyQonI_30,playing flute
8A1G_Sg6bx4_170,playing clarinet
Citws4f_LJw_27,cat growling
4__iwk9Z4_0_0,playing castanets
-kWlE2dkoxc_170,vacuum cleaner cleaning floors
ECP7EJka6N8_590,playing cello
C3o8pEsAu5U_40,male singing
RgvTdT46MXs_200,playing harp
d75jRtnpIa8_10,bird wings flapping
lH6ym1UrlnE_120,people coughing
nVpU4g6jWu8_30,turkey gobbling
lXJLde6LGWk_30,people eating
T0DQyRrjewU_3,chicken clucking
O69Yy17L9pY_1,playing lacrosse
0Olm321vgk8_30,male singing
F20SKPMppQU_30,goose honking
w61G4C8ZFfE_8,playing tambourine
Wdtku1dqJo0_30,female singing
PQ2vqE0zc3E_0,mosquito buzzing
8AdDbRz0SrU_28,door slamming
ifHRDBx-ctw_30,playing accordion
ItsHQv62xTs_114,strike lighter
7MXamVgKszI_30,cat meowing
GutEh8BDnW4_30,bird squawking
MWE5Rjht178_156,plastic bottle crushing
s4PCAzr_fdY_46,golf driving
RgEEH6TgOEI_20,playing gong
Vx3kxcFd5GU_35,people giggling
AmipJSk2B-o_5,driving snowmobile
qm5bL7U1LUU_763,lip smacking
vaErFk6zS30_44,people sneezing
AmC1pCa1GfE_40,baby babbling
0IzhjqyDzt8_0,church bell ringing
nLKEdmVu3FY_40,orchestra
ejwXH7ztxpE_135,parrot talking
bm5IT7e2vvI_120,"playing marimba, xylophone"
fkgaF6Oj5Q4_30,playing sitar
5xIBQGMjiX4_30,playing banjo
W1nb2hIeDKc_21,striking bowling
ccCzbG5FcZI_38,tractor digging
-2Dm0VjW8oM_1,"pigeon, dove cooing"
eaHpZtEfqCg_30,basketball bounce
Nvy70GTLwbM_51,airplane flyby
y48xjWp-Bwk_45,chinchilla barking
BHGB73ilrCc_30,dog barking
cxw91PSTRq8_120,machine gun shooting
08Cm_RuvHmk_0,playing zither
2vycuIKwnnA_0,baltimore oriole calling
KWCQUZQ9D-Q_30,"child speech, kid speaking"
5sqCl5xhlKk_0,playing steelpan
dFZ5xSbP8f8_73,police radio chatter
3Oa4oE3bQTY_510,playing harp
XVSp1vlla6M_11,hedge trimmer running
dpEVjaFAhAs_360,hair dryer drying
-3rHVsIj1M8_30,wind noise
VldL5A1xugE_48,cupboard opening or closing
z908wqy93Uk_28,cheetah chirrup
M5MnBiYMZ9k_30,people shuffling
BbVoVbQHoXo_30,typing on typewriter
mm48vh_TmMI_558,dinosaurs bellowing
JFiBXFFzT5c_21,volcano explosion
nfitcQXx-Y0_20,gibbon howling
4rk6hCR_PVk_123,"ice cream truck, ice cream van"
FbLFOzKYe-w_123,cutting hair with electric trimmers
BrjXD7rdihs_497,playing bass drum
6P6z2S6XLIs_264,airplane
RxhbTLS3rNo_2,dog growling
-d1KR2BSfHM_65,squishing water
rlCetbDzOfE_61,people marching
87tCTDAXZto_50,cattle mooing
Vuhp5vv5hoU_360,playing snare drum
ZHK2VTTMMWs_370,opening or closing drawers
KOVA158NXRQ_30,playing french horn
Ic-T5M7LAaI_147,people eating apple
Pf4C7fuB9hM_90,playing guiro
JoE9F2eO_jE_80,using sewing machines
KwlYiJEy0Po_130,playing cymbal
nfzZeT_liEQ_130,hair dryer drying
r6vYJjNnc6o_0,playing gong
q3Q0g4kRlmU_2,bull bellowing
72-UFjSlpvM_314,golf driving
PtXXQg3DpcI_264,playing cornet
rDb0xQ6m8Oc_80,sailing
BioGVnRl7OE_127,barn swallow calling
K3Q8Gi6oPIg_30,chicken crowing
Go4ivzlG818_30,people whispering
IUlF2uk8JA0_56,playing hockey
pIhCGGAsoaA_107,mouse clicking
bHmbZDvqpyo_20,people babbling
j0F9mLuDDZo_550,pumping water
P4x12uMeVVc_86,tap dancing
J9CVwkhvBWI_1,fox barking
9NUBwDtWAmk_30,"playing violin, fiddle"
j7p1kbECybQ_167,people battle cry
Qs4_YEwDSxI_219,coyote howling
00wORCOKNHw_14,horse clip-clop
Bk34jgx0Vo4_356,wood thrush calling
MYtq46rNsCA_30,baby crying
kYV-JxDfdYM_80,playing piano
KOVw582M79I_220,driving buses
NboCft3LZAg_140,playing saxophone
GU7mq8uZgJo_431,playing tennis
Weu8nsJRMqE_30,playing ukulele
uRyLEBGX5ag_20,machine gun shooting
Grnk9p9P7Qk_17,toilet flushing
Vsl9vfhmbN8_30,orchestra
1f-s2gYqyh8_19,shot football
4ooEeN51qdQ_93,playing erhu
LhRNnXaSsCk_30,driving buses
m2ezw2M40jo_30,playing theremin
VHUZvGxQbFA_0,typing on computer keyboard
On2aeIUKoNY_30,frog croaking
Uv3K_pEUlX8_20,helicopter
9K1WO3UNFb0_269,bouncing on trampoline
f3-rB-w9e1Y_20,playing drum kit
Ma19m133Lmk_100,"subway, metro, underground"
JxSX1loqkvA_53,otter growling
tgotVTkTSwo_52,playing erhu
pPk9HpXZLj8_30,baby babbling
qUxCOssraHQ_290,sloshing water
Xv2Ba8LoD9U_174,bull bellowing
aDsnFA2GDQw_43,playing cornet
AznWFbIOSZw_30,car engine knocking
dIzQVYDYtKA_8,tap dancing
_L2Y9ftYKKU_130,pumping water
rvjDcbLtU5I_79,"alligators, crocodiles hissing"
5zBNpxyX-KI_0,baby babbling
kNW4IaBjX9o_19,"heart sounds, heartbeat"
E8tUICNlnu0_137,opening or closing car electric windows
PrFFOuorXEE_30,playing french horn
UGlqxl1oiJk_130,people whistling
T5OiGQOZWic_284,tap dancing
ukX18v7w76E_63,"alligators, crocodiles hissing"
4dVhbo5rq7w_212,playing djembe
7UR9hzzFevQ_65,cat growling
qj9RisK--0g_443,children shouting
N8iIq2UzZLk_30,playing acoustic guitar
QXnFAcMyAHA_30,playing harp
cqalBFm19UA_221,tractor digging
d1QQRXy2pTM_6,cat hissing
CK7_1E8cNMM_43,playing tympani
g8USMvt9np0_10,playing vibraphone
HLsRePLObfI_30,playing steelpan
FXQxobF8FWw_30,playing electric guitar
z7HamK0zAcM_21,car engine starting
3P2O0e0luWA_20,cuckoo bird calling
gaHt8mT4u9U_30,canary calling
FzzboZDObbs_41,car engine starting
oKdF5E37uac_196,ripping paper
jhTQR8w9SYI_57,playing timbales
TgQA1mgDudE_208,shot football
8jDanS4ZzRc_240,orchestra
Q6CqAFnP2Fg_10,ambulance siren
2Mkwgf0Pej0_0,using sewing machines
g3bUrhq5Vpw_394,people gargling
3R0dqfaiV3M_0,mouse pattering
-z4OZ7ls5Bo_540,playing ukulele
0XFFOBzJ3aw_120,playing flute
ObEtTb5dWgU_73,plastic bottle crushing
FXlPUGUw9UU_260,singing bowl
j1JUsTMZcuY_42,people giggling
UoSID1KzWuI_30,playing acoustic guitar
rXHHLtG_iGQ_562,tap dancing
aJKu_6M6WMw_484,playing badminton
Qt7FJkuqWPE_30,driving buses
83XmpVJP-YY_1,dog whimpering
e4qVs0kpC_w_510,vacuum cleaner cleaning floors
8aLFtBwGEJ0_1,"playing violin, fiddle"
7Cey4yVxuSk_312,playing badminton
XftMCb6LWBI_20,"bird chirping, tweeting"
6BitLl5Bnxw_30,skidding
_k2hN2MlHoA_30,people belly laughing
TjP-9AlPShg_140,people coughing
Ya5GiXz1gbA_19,wind chime
mCJ0aqIygWE_24,reversing beeps
r1XXnstW6Vk_66,playing glockenspiel
7OyCsvavJNA_40,cap gun shooting
j-JCj72-vCg_60,train wheels squealing
RN_qfzQUkeU_300,cattle mooing
mofxODOJLAU_30,sloshing water
KzLSsTfunLY_30,car engine knocking
CD2NWcdAcDM_6,black capped chickadee calling
QtEtP5Vb_3o_340,bird wings flapping
A5RP_P_aFsk_10,playing vibraphone
fllbxiLid5c_530,pumping water
T-28g9G-WKo_0,driving snowmobile
WUiy_6hI-xU_61,playing mandolin
Fz2VI-6exXU_30,mouse squeaking
Xx2YziXzVkg_30,dog growling
hsWx3U6etY8_18,cricket chirping
a8cRcNvRJgg_64,people nose blowing
QDW_uCMnMMU_0,people screaming
84JbG7gFceA_7,playing castanets
sI5ZziqZ9jI_30,playing trombone
LPvJFjsxMj8_30,cat meowing
c8uE3Q8p9Jo_50,playing theremin
KrAPRaQI9cE_386,train whistling
3yt8xEb1VXA_200,raining
ABNmO9SewG8_30,"bee, wasp, etc. buzzing"
yCMy14iNKzQ_97,footsteps on snow
3FE8b0QVvsM_30,playing harpsichord
bjb7QtMEBUg_283,tornado roaring
W9CPGD_lR7g_5,air horn
_AopX_dxdZ0_10,church bell ringing
BP7tLbj4fOI_30,car engine starting
nmNgFcyQoRk_0,lawn mowing
5VYm2PFJ9iM_376,playing cornet
XOI5jgUu3fA_442,blowtorch igniting
fsXfBoNcLeM_30,rapping
1veIcvGPRYw_3,dog bow-wow
LeKSh68pvMQ_30,horse clip-clop
EsJPJ4MXhs4_30,dog barking
J_5UGUOiu3c_0,elephant trumpeting
XS-3djsJWTA_360,playing acoustic guitar
fAmA7zTw8SY_490,cap gun shooting
GbJ84ESfKOs_30,playing harmonica
6a8Y3l5piBY_30,car engine starting
jjobvHzPstY_20,typing on typewriter
3vp3XshIuSI_189,playing bassoon
MHT46cURY6c_30,crow cawing
_AUtYTaYMrE_100,people sobbing
D-A7agR6y4w_110,playing drum kit
7gyHD8EZcAs_30,"pigeon, dove cooing"
ZYpeoQ6g7yY_145,playing tympani
YA2qegUMNSc_510,baby babbling
J6iYFxXuHrI_654,disc scratching
0-EgET9q3qE_30,playing electronic organ
jFnM9C8jCdE_161,playing harpsichord
qDt3cA3GOUw_24,lions growling
QJGordCQPW0_21,horse clip-clop
